state,state_abbrev,year,regulator_name,regulator_url,total_external_reviews,total_overturned_full_or_partial,percent_overturned,system_type,source_document,notes
Maryland,MD,2024,Maryland Insurance Administration (MIA),https://insurance.maryland.gov/,,,0.668,state-run,https://insurance.maryland.gov/Consumer/Appeals%20and%20Grievances%20Reports/Health-Care-Appeals-and-Grievance-Law-2024-Report-Insurance-Article-15-10A-06-b-3.pdf,"MIA reversed or modified the carrier's grievance decision 66.8% of the time in 2024, per MIA's 2024 Health Care Appeals and Grievance Law Report. Down 2.9 pts from prior year. Note: this is MIA's complaint-handling reversal rate, broader than IRO-only external review. Source PDF identified."
Massachusetts,MA,2023,Massachusetts Office of Patient Protection (OPP) at Health Policy Commission,https://masshpc.gov/opp,,,0.4,state-run,https://masshpc.gov/publications/office-patient-protection-report/2023-office-patient-protection-annual-report,~40% of OPP external reviews resolved in patient's favor per OPP 2023 Annual Report referenced by MA HPC. 2024 report not yet located; flag as most-recent-published is 2023.
Michigan,MI,2024,Michigan Department of Insurance and Financial Services (DIFS),https://www.michigan.gov/difs/,,,,state-run,https://www.michigan.gov/difs/-/media/Project/Websites/difs/Annual_Report/DIFS_Annual_Report.pdf,Data gap on count fields: DIFS publishes PRIRA (Patient's Right to Independent Review Act) decisions individually on its site but does not publish consolidated overturn statistics in a discoverable form. 2024 DIFS Annual Report identified.
Minnesota,MN,2024,Minnesota Department of Commerce,https://mn.gov/commerce/,,,0.43,state-run,https://mn.gov/commerce/insurance/health/consumer-protections/external-review.jsp,"43% of external reviews resulted in coverage denials being overturned in 2024, per Department of Commerce (cited via KSTP News). Filing fee dropped 2024-08-01 to increase access."
Mississippi,MS,2024,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,Mississippi historically classified as relying on HHS-administered federal process. Note KFF 2024 state list only flags 5 states (AL/FL/GA/TX/WI); MS may have shifted classification. Flag for re-verification.
Missouri,MO,,Missouri Department of Commerce and Insurance,https://insurance.mo.gov/,,,,state-run,https://insurance.mo.gov/reports,Data gap: Missouri DCI does not publish public external-review overturn statistics.
Montana,MT,,Montana Commissioner of Securities and Insurance,https://csimt.gov/,,,,state-run,https://csimt.gov/insurance/health-insurance/,Data gap: CSI Montana does not publish public external-review statistics.
Nebraska,NE,,Nebraska Department of Insurance,https://doi.nebraska.gov/,,,,state-run,https://doi.nebraska.gov/consumer/health-insurance,"Data gap: Nebraska DOI does not publish public external-review statistics. Note: NE was previously HHS-administered; KFF 2024 list shows state-run, flag for verification."
Nevada,NV,,Nevada Division of Insurance,https://doi.nv.gov/,,,,state-run,https://doi.nv.gov/Insurers/Life-Health/Required-Industry-Reports/,Data gap: Nevada Division of Insurance does not publish a discoverable external-review statistics report.
New Hampshire,NH,,New Hampshire Insurance Department,https://www.insurance.nh.gov/,,,,state-run,https://www.insurance.nh.gov/consumers/health-insurance/independent-external-review,Data gap: NHID 2025 Annual Report identified but specific external-review counts not extracted.
New Jersey,NJ,,New Jersey Department of Banking and Insurance (DOBI) IHCAP,https://www.nj.gov/dobi/,,,,state-run,https://www.nj.gov/dobi/division_insurance/managedcare/ihcap.htm,Data gap on count fields: DOBI's Independent Health Care Appeals Program (IHCAP) publishes periodic reports (48th IHCAP report identified) but case-level statistics not extracted from binary PDF in our pipeline. KFF 1998-era data cited Connecticut + NJ in 50-72% historic range.
New Mexico,NM,,New Mexico Office of Superintendent of Insurance (OSI),https://www.osi.state.nm.us/,,,,state-run,https://www.osi.state.nm.us/consumer/,Data gap: NM OSI does not publish public external-review overturn statistics.
New York,NY,2024,New York Department of Financial Services (DFS),https://www.dfs.ny.gov/,,,,state-run,https://www.dfs.ny.gov/system/files/documents/2025/06/NYSDFS_Annual-Report-2024.pdf,NY DFS publishes the most extensive external-appeal database in the US (searchable: https://www.dfs.ny.gov/public-appeal/search). Aggregate 2024 counts referenced in DFS 2024 Annual Report; specific tables not extracted from binary PDF in our pipeline. Independent dashboard at https://appeal-explorer.persius.org
North Carolina,NC,2024,North Carolina Department of Insurance (Smart NC),https://www.ncdoi.gov/,282,153,0.5426,state-run,https://www.ncdoi.gov/consumers/health-insurance/health-claim-denied/request-external-review,Smart NC received 282 external review requests through November 2024 and overturned 153 (~53%). Per Smart NC and NBC News reporting (2025). Annual report: https://www.ncleg.gov/Files/Library/agency/doi13339.pdf
North Dakota,ND,,North Dakota Insurance Department,https://www.insurance.nd.gov/,,,,state-run,https://www.insurance.nd.gov/consumers/health,Data gap: ND Insurance Department does not publish public external-review statistics.
Ohio,OH,2019,Ohio Department of Insurance,https://insurance.ohio.gov/,,,,state-run,https://dam.assets.ohio.gov/image/upload/insurance.ohio.gov/Legal/Reports/Documents/Annual_Health_Claims_External_Review_Report_2019.pdf,Data gap on count fields: Most recent publicly posted Annual Health Claims External Review Report is 2019. Ohio law requires annual publication but current-year reports not published online; flag as significant transparency gap.
Oklahoma,OK,,Oklahoma Insurance Department,https://www.oid.ok.gov/,,,,state-run,https://www.oid.ok.gov/consumers/external-review-process/,Data gap: OID does not publish public external-review statistics.
Oregon,OR,2025,Oregon Division of Financial Regulation (DFR),https://dfr.oregon.gov/,278,108,0.3885,state-run,https://dfr.oregon.gov/insure/health/understand/coverage/pages/iro-decision-report.aspx,"Oregon DFR IRO Case Detail Report (current through 2025-06-30): 352 cases received, 278 completed full review, 108 overturned or partially overturned (39%), 170 upheld. Excel-format quarterly updates."
Pennsylvania,PA,2025,Pennsylvania Insurance Department (PID),https://www.pa.gov/agencies/insurance/,1353,655,0.484,state-run,https://www.pa.gov/agencies/insurance/newsroom/shapiro-admin-ind-ext-review-helps-hundreds-receive-benefits-originally-denied,PA Independent External Review Program (launched 2024-01) referred 1353 eligible cases to IROs since inception through 2025; 655 overturned (~48%). First-year (2024) rate was 50.1%. Program is one of newest state-run replacements for HHS-administered process.
Rhode Island,RI,,Rhode Island Office of the Health Insurance Commissioner (OHIC),https://ohic.ri.gov/,,,,state-run,https://ohic.ri.gov/data-reports/ohic-additional-data-and-reports,Data gap: OHIC does not publish a discoverable external-review statistics document.
South Carolina,SC,2024,South Carolina Department of Insurance,https://doi.sc.gov/,,,0.43,state-run,https://doi.sc.gov/,~43% of cases reversed in 2024 per NBC News attribution to SCDOI. SC DOI does not publish dedicated annual external-review report online; flag as secondary citation.
South Dakota,SD,,South Dakota Division of Insurance,https://dlr.sd.gov/insurance/,,,,state-run,https://dlr.sd.gov/insurance/external_review/company_review_process.aspx,Data gap: SD Division of Insurance publishes IRO process documentation but no overturn statistics.
Tennessee,TN,,Tennessee Department of Commerce and Insurance (TDCI),https://www.tn.gov/commerce/,,,,state-run,https://www.tn.gov/commerce/insurance-division.html,Data gap: TDCI returned $17.54M to consumers via mediation in 2024 but does not break out external-review overturn statistics.
Texas,TX,,Texas Department of Insurance (TDI),https://www.tdi.texas.gov/,,,,state-run,https://www.tdi.texas.gov/hmo/mcqa/indexiro.html,Data gap on count fields: TDI publishes IRO decisions individually but does not publish consolidated overturn statistics. Note: KFF 2024 lists TX as HHS-administered; TDI operates state-level IRO process for workers' compensation and certifies IROs. Methodology divergence: TX IRO data structure differs materially from CA DMHC IMR; not directly comparable.
Utah,UT,,Utah Insurance Department,https://insurance.utah.gov/,,,,state-run,https://insurance.utah.gov/consumers/health/,Data gap: Utah Insurance Department does not publish public external-review statistics.
Vermont,VT,,Vermont Department of Financial Regulation (DFR),https://dfr.vermont.gov/,,,,state-run,https://dfr.vermont.gov/industry/insurance/health-insurance/reports,Data gap: Vermont DFR publishes Health Insurers Annual Reports with claims/appeals data but does not specifically itemize external-review overturn rates in a public summary.
Virginia,VA,,Virginia Bureau of Insurance (State Corporation Commission),https://www.scc.virginia.gov/,,,,state-run,https://www.scc.virginia.gov/consumers/insurance/health-insurance-consumer/external-review/,Data gap: VA Bureau of Insurance does not publish a discoverable external-review statistics report.
Washington,WA,2024,Washington Office of the Insurance Commissioner (OIC),https://www.insurance.wa.gov/,,,0.25,state-run,https://www.insurance.wa.gov/sites/default/files/2025-07/OIC-annual-report-2024-final.pdf,~25% overturn rate in 2024 per NBC News attribution to WA OIC. 2024 WA OIC Annual Report identified.
West Virginia,WV,2024,West Virginia Offices of the Insurance Commissioner,https://www.wvinsurance.gov/,,,0.17,state-run,https://www.wvinsurance.gov/Resources_Reports,~17% overturn rate over the last 5 years (through 2024) per NBC News attribution to WV OIC. Cumulative period rate; not single-year. Significantly below national average.
Wisconsin,WI,2024,HHS-Administered Federal External Review (MAXIMUS Federal Services) / Wisconsin OCI,https://oci.wi.gov/,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,Wisconsin operates partial state external-review framework but classified by KFF (2024) as relying on HHS-administered process for the full external-review pathway. WI OCI 2024 Wisconsin Insurance Report identified at https://oci.wi.gov/Documents/AboutOCI/2024_WIR.pdf
Wyoming,WY,,Wyoming Department of Insurance,http://doi.wyo.gov/,,,,state-run,http://doi.wyo.gov/,Data gap: WY DOI does not publish public external-review statistics.
American Samoa,AS,,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,U.S. territory using HHS-administered federal process. CMS does not publish jurisdiction-level case totals.
Guam,GU,,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,U.S. territory using HHS-administered federal process. CMS does not publish jurisdiction-level case totals.
Northern Mariana Islands,MP,,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,U.S. territory using HHS-administered federal process. CMS does not publish jurisdiction-level case totals.
Puerto Rico,PR,,Puerto Rico Office of the Insurance Commissioner,https://ocs.pr.gov/,,,,state-run,https://ocs.pr.gov/,KFF 2024 classifies Puerto Rico as operating an NAIC-parallel state-run external-review process; OCS does not publish public overturn statistics.
U.S. Virgin Islands,VI,,HHS-Administered Federal External Review (MAXIMUS Federal Services),https://www.cms.gov/cciio/programs-and-initiatives/consumer-support-and-information/csg-ext-appeals-facts,,,,HHS-administered,https://maximusferp.my.site.com/FERP/s/,U.S. territory using HHS-administered federal process. CMS does not publish jurisdiction-level case totals.
